Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,2383.620117,2403.219971,2379.590088,2400.479980,2400.479980,0
2019-08-19,2412.510010,2426.629883,2405.889893,2418.939941,2418.939941,0
2019-08-20,2415.379883,2423.629883,2407.139893,2410.050049,2410.050049,0
2019-08-21,2422.399902,2438.360107,2422.219971,2426.159912,2426.159912,0
2019-08-22,2426.209961,2431.520020,2404.520020,2404.520020,2404.520020,0
2019-08-23,2395.629883,2407.860107,2363.879883,2364.949951,2364.949951,0
2019-08-26,2377.500000,2390.929932,2373.139893,2378.350098,2378.350098,0
2019-08-27,2387.850098,2393.629883,2369.360107,2374.739990,2374.739990,0
2019-08-28,2377.370117,2402.580078,2375.040039,2399.139893,2399.139893,0
2019-08-29,2407.370117,2434.469971,2407.370117,2418.340088,2418.340088,0
2019-08-30,2421.889893,2426.209961,2410.429932,2419.550049,2419.550049,0
2019-09-03,2408.979980,2410.949951,2387.610107,2408.639893,2408.639893,0
2019-09-04,2429.100098,2456.100098,2421.100098,2443.610107,2443.610107,0
2019-09-05,2439.409912,2477.919922,2439.409912,2462.739990,2462.739990,0
2019-09-06,2460.659912,2466.570068,2452.209961,2462.360107,2462.360107,0
2019-09-09,2466.070068,2481.709961,2466.070068,2480.370117,2480.370117,0
2019-09-10,2482.860107,2527.629883,2481.510010,2520.050049,2520.050049,0
2019-09-11,2517.840088,2540.179932,2515.149902,2538.709961,2538.709961,0
2019-09-12,2536.530029,2540.560059,2522.060059,2528.850098,2528.850098,0
2019-09-13,2532.010010,2547.030029,2531.520020,2536.550049,2536.550049,0
2019-09-16,2577.870117,2581.340088,2558.969971,2563.979980,2563.979980,0
2019-09-17,2563.689941,2578.469971,2541.100098,2571.439941,2571.439941,0
2019-09-18,2566.820068,2579.419922,2560.429932,2572.360107,2572.360107,0
2019-09-19,2579.629883,2584.239990,2561.459961,2562.469971,2562.469971,0
2019-09-20,2563.689941,2578.870117,2555.679932,2570.310059,2570.310059,0
2019-09-23,2567.169922,2579.709961,2564.929932,2568.330078,2568.330078,0
2019-09-24,2568.540039,2569.270020,2536.340088,2547.530029,2547.530029,0
2019-09-25,2547.530029,2547.530029,2528.189941,2531.850098,2531.850098,0
2019-09-26,2522.760010,2525.290039,2506.379883,2506.989990,2506.989990,0
2019-09-27,2502.790039,2513.330078,2497.250000,2499.919922,2499.919922,0
2019-09-30,2499.919922,2502.850098,2488.159912,2488.159912,2488.159912,0
2019-10-01,2488.159912,2503.340088,2468.659912,2470.560059,2470.560059,0
2019-10-02,2460.250000,2465.239990,2430.679932,2434.870117,2434.870117,0
2019-10-03,2421.459961,2435.179932,2408.010010,2433.300049,2433.300049,0
2019-10-04,2439.290039,2448.919922,2426.850098,2448.919922,2448.919922,0
2019-10-07,2452.419922,2457.929932,2427.469971,2427.469971,2427.469971,0
2019-10-08,2416.300049,2424.399902,2385.669922,2386.679932,2386.679932,0
2019-10-09,2401.570068,2402.860107,2390.500000,2395.590088,2395.590088,0
2019-10-10,2396.850098,2412.510010,2396.389893,2402.409912,2402.409912,0
2019-10-11,2415.500000,2443.790039,2415.050049,2431.610107,2431.610107,0
2019-10-14,2431.610107,2431.610107,2413.169922,2426.479980,2426.479980,0
2019-10-15,2419.909912,2461.429932,2419.600098,2429.939941,2429.939941,0
2019-10-16,2427.560059,2430.169922,2416.530029,2424.780029,2424.780029,0
2019-10-17,2428.590088,2444.899902,2422.260010,2437.149902,2437.149902,0
2019-10-18,2425.030029,2441.379883,2423.600098,2440.300049,2440.300049,0
2019-10-21,2444.699951,2464.379883,2442.610107,2459.810059,2459.810059,0
2019-10-22,2461.260010,2479.659912,2452.320068,2464.550049,2464.550049,0
2019-10-23,2468.070068,2476.209961,2464.899902,2471.080078,2471.080078,0
2019-10-24,2476.929932,2486.340088,2460.120117,2471.889893,2471.889893,0
2019-10-25,2473.469971,2484.459961,2470.090088,2480.229980,2480.229980,0
2019-10-28,2483.219971,2493.320068,2462.219971,2462.219971,2462.219971,0
2019-10-29,2457.790039,2473.360107,2446.139893,2465.280029,2465.280029,0
2019-10-30,2465.280029,2465.280029,2445.250000,2456.550049,2456.550049,0
2019-10-31,2456.550049,2457.020020,2432.830078,2450.989990,2450.989990,0
2019-11-01,2445.360107,2495.300049,2445.360107,2476.459961,2476.459961,0
2019-11-04,2476.459961,2496.149902,2476.459961,2491.350098,2491.350098,0
2019-11-05,2493.629883,2509.959961,2491.090088,2508.510010,2508.510010,0
2019-11-06,2507.709961,2510.429932,2488.520020,2500.780029,2500.780029,0
2019-11-07,2500.780029,2523.100098,2500.780029,2510.129883,2510.129883,0
2019-11-08,2503.110107,2505.439941,2487.780029,2503.679932,2503.679932,0
2019-11-11,2485.959961,2500.199951,2485.959961,2499.010010,2499.010010,0
2019-11-12,2498.540039,2500.889893,2471.129883,2476.290039,2476.290039,0
2019-11-13,2465.669922,2474.600098,2451.580078,2457.790039,2457.790039,0
2019-11-14,2457.409912,2463.860107,2443.669922,2447.639893,2447.639893,0
2019-11-15,2446.770020,2474.989990,2446.770020,2470.169922,2470.169922,0
2019-11-18,2461.699951,2461.699951,2437.570068,2442.810059,2442.810059,0
2019-11-19,2442.780029,2444.520020,2429.659912,2429.659912,2429.659912,0
2019-11-20,2436.280029,2449.409912,2425.129883,2429.719971,2429.719971,0
2019-11-21,2437.000000,2446.350098,2426.280029,2444.080078,2444.080078,0
2019-11-22,2449.350098,2453.750000,2429.800049,2430.570068,2430.570068,0
2019-11-25,2432.110107,2450.070068,2425.270020,2446.919922,2446.919922,0
2019-11-26,2447.000000,2455.659912,2442.310059,2449.209961,2449.209961,0
2019-11-27,2454.610107,2461.570068,2440.360107,2459.469971,2459.469971,0
2019-11-29,2448.040039,2459.449951,2440.260010,2447.010010,2447.010010,0
2019-12-02,2436.340088,2446.709961,2430.370117,2441.020020,2441.020020,0
2019-12-03,2432.760010,2433.449951,2404.500000,2404.500000,2404.500000,0
2019-12-04,2411.110107,2430.570068,2411.110107,2419.760010,2419.760010,0
2019-12-05,2420.840088,2433.770020,2412.840088,2421.310059,2421.310059,0
2019-12-06,2421.709961,2459.340088,2420.870117,2453.459961,2453.459961,0
2019-12-09,2453.459961,2455.949951,2441.409912,2447.379883,2447.379883,0
2019-12-10,2457.290039,2459.949951,2449.010010,2453.479980,2453.479980,0
2019-12-11,2455.409912,2459.719971,2444.360107,2456.280029,2456.280029,0
2019-12-12,2456.280029,2481.199951,2450.139893,2460.929932,2460.929932,0
2019-12-13,2461.290039,2484.820068,2458.520020,2473.639893,2473.639893,0
2019-12-16,2480.590088,2489.790039,2472.330078,2478.850098,2478.850098,0
2019-12-17,2477.639893,2502.570068,2477.639893,2484.419922,2484.419922,0
2019-12-18,2483.409912,2502.399902,2483.209961,2496.520020,2496.520020,0
2019-12-19,2496.520020,2515.199951,2495.000000,2509.310059,2509.310059,0
2019-12-20,2509.310059,2519.639893,2500.729980,2501.870117,2501.870117,0
2019-12-23,2504.129883,2538.219971,2501.919922,2536.770020,2536.770020,0
2019-12-24,2534.179932,2542.639893,2528.560059,2541.679932,2541.679932,0
2019-12-26,2547.620117,2565.500000,2541.679932,2552.500000,2552.500000,0
2019-12-27,2556.090088,2556.090088,2533.110107,2533.860107,2533.860107,0
2019-12-30,2532.030029,2544.879883,2530.330078,2543.919922,2543.919922,0
2019-12-31,2540.770020,2555.229980,2538.820068,2552.560059,2552.560059,0
2020-01-02,2563.050049,2572.250000,2554.629883,2568.649902,2568.649902,0
2020-01-03,2568.649902,2584.449951,2566.860107,2568.100098,2568.100098,0
2020-01-06,2580.350098,2586.389893,2567.110107,2585.949951,2585.949951,0
2020-01-07,2580.020020,2586.149902,2571.360107,2585.419922,2585.419922,0
2020-01-08,2591.879883,2597.290039,2557.780029,2558.820068,2558.820068,0
2020-01-09,2558.659912,2574.639893,2547.929932,2571.280029,2571.280029,0
2020-01-10,2572.780029,2588.969971,2572.389893,2580.959961,2580.959961,0
2020-01-13,2579.989990,2579.989990,2562.949951,2576.770020,2576.770020,0
2020-01-14,2576.239990,2590.820068,2572.060059,2576.389893,2576.389893,0
2020-01-15,2575.050049,2603.909912,2574.100098,2601.250000,2601.250000,0
2020-01-16,2610.379883,2636.899902,2608.939941,2626.909912,2626.909912,0
2020-01-17,2626.909912,2626.909912,2609.100098,2622.090088,2622.090088,0
2020-01-21,2614.060059,2614.060059,2578.419922,2582.139893,2582.139893,0
2020-01-22,2583.620117,2583.620117,2560.280029,2562.570068,2562.570068,0
2020-01-23,2548.050049,2562.699951,2532.360107,2558.510010,2558.510010,0
2020-01-24,2558.510010,2561.330078,2523.679932,2529.550049,2529.550049,0
2020-01-27,2498.500000,2507.350098,2478.929932,2478.929932,2478.929932,0
2020-01-28,2488.020020,2496.379883,2476.300049,2477.689941,2477.689941,0
2020-01-29,2490.439941,2494.139893,2465.479980,2468.050049,2468.050049,0
2020-01-30,2453.889893,2469.909912,2453.439941,2467.639893,2467.639893,0
2020-01-31,2461.570068,2468.030029,2430.090088,2431.409912,2431.409912,0
2020-02-03,2431.409912,2435.679932,2408.729980,2411.719971,2411.719971,0
2020-02-04,2427.209961,2439.760010,2417.919922,2420.820068,2420.820068,0
2020-02-05,2435.739990,2458.530029,2435.739990,2454.219971,2454.219971,0
2020-02-06,2452.909912,2452.909912,2418.959961,2433.500000,2433.500000,0
2020-02-07,2422.300049,2427.080078,2402.250000,2404.229980,2404.229980,0
2020-02-10,2396.929932,2396.969971,2376.189941,2381.280029,2381.280029,0
2020-02-11,2396.300049,2406.570068,2390.010010,2395.709961,2395.709961,0
2020-02-12,2410.270020,2421.290039,2406.110107,2411.139893,2411.139893,0
2020-02-13,2408.479980,2413.550049,2393.949951,2401.000000,2401.000000,0
2020-02-14,2402.820068,2416.340088,2395.040039,2403.290039,2403.290039,0
2020-02-18,2400.439941,2417.239990,2397.169922,2410.000000,2410.000000,0
2020-02-19,2419.090088,2431.719971,2409.620117,2425.699951,2425.699951,0
2020-02-20,2429.199951,2443.280029,2423.229980,2424.379883,2424.379883,0
2020-02-21,2424.379883,2424.379883,2400.959961,2406.889893,2406.889893,0
2020-02-24,2362.469971,2371.060059,2347.080078,2361.189941,2361.189941,0
2020-02-25,2361.189941,2388.340088,2293.000000,2301.169922,2301.169922,0
2020-02-26,2306.020020,2314.719971,2249.320068,2253.840088,2253.840088,0
2020-02-27,2227.639893,2246.590088,2171.389893,2210.330078,2210.330078,0
2020-02-28,2162.199951,2213.699951,2134.080078,2213.699951,2213.699951,0
2020-03-02,2240.080078,2268.020020,2213.250000,2265.899902,2265.899902,0
2020-03-03,2269.820068,2289.209961,2227.919922,2244.679932,2244.679932,0
2020-03-04,2268.820068,2269.070068,2231.889893,2261.629883,2261.629883,0
2020-03-05,2227.419922,2228.870117,2172.219971,2192.729980,2192.729980,0
2020-03-06,2159.709961,2159.709961,2106.989990,2149.770020,2149.770020,0
2020-03-09,2149.770020,2149.770020,1863.619995,1875.859985,1875.859985,0
2020-03-10,1942.979980,1950.630005,1826.579956,1899.280029,1899.280029,0
2020-03-11,1867.420044,1870.020020,1760.910034,1775.689941,1775.689941,0
2020-03-12,1649.060059,1650.839966,1550.430054,1564.900024,1564.900024,0
2020-03-13,1630.739990,1645.540039,1525.170044,1602.250000,1602.250000,0
2020-03-16,1449.030029,1529.880005,1396.760010,1499.150024,1499.150024,0
2020-03-17,1502.560059,1541.390015,1424.329956,1503.069946,1503.069946,0
2020-03-18,1421.949951,1427.329956,1276.089966,1317.219971,1317.219971,0
2020-03-19,1312.050049,1428.369995,1277.920044,1399.560059,1399.560059,0
2020-03-20,1426.760010,1476.339966,1388.339966,1408.939941,1408.939941,0
2020-03-23,1422.589966,1422.589966,1327.829956,1336.380005,1336.380005,0
2020-03-24,1430.489990,1466.530029,1410.609985,1464.969971,1464.969971,0
2020-03-25,1484.619995,1558.400024,1441.959961,1516.189941,1516.189941,0
2020-03-26,1516.189941,1615.609985,1516.189941,1550.349976,1550.349976,0
2020-03-27,1518.189941,1518.189941,1472.780029,1487.229980,1487.229980,0
2020-03-30,1475.839966,1513.250000,1437.239990,1513.250000,1513.250000,0
2020-03-31,1524.209961,1568.589966,1512.369995,1537.000000,1537.000000,0
2020-04-01,1489.709961,1525.060059,1464.199951,1492.089966,1492.089966,0
2020-04-02,1521.810059,1600.709961,1512.099976,1557.609985,1557.609985,0
2020-04-03,1582.739990,1591.609985,1508.329956,1520.310059,1520.310059,0
2020-04-06,1552.079956,1584.140015,1549.920044,1583.380005,1583.380005,0
